run_path,optimizer,step,parameter_name,tensor_type,parameter_shape,parameter_numel,state_family,state_component,state_numel,zero_fraction,log2_median,log2_p5,log2_p95,log2_p99,log2_min,log2_max,block_logrange_median,block_logrange_p95,block_logrange_max,n_valid_blocks,n_total_blocks,source_file
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.9.mlp.up_proj.weight,mlp,5632x2048,11534336,second_moment,row,5632,0.0,-28.713830947875977,-29.805835723876953,-24.942790985107422,-23.82406234741211,-30.40875244140625,-22.28058433532715,7.585559844970703,7.958022117614746,7.999406814575195,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.9.mlp.up_proj.weight,mlp,5632x2048,11534336,second_moment,col,2048,0.0,-27.623701095581055,-28.838529586791992,-25.47504425048828,-24.802165985107422,-29.191272735595703,-23.971097946166992,5.220174789428711,5.220174789428711,5.220174789428711,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.9.mlp.down_proj.weight,mlp,2048x5632,11534336,second_moment,row,2048,0.0,-26.93985939025879,-27.335325241088867,-26.428098678588867,-26.118288040161133,-27.640396118164062,-25.680150985717773,1.960245132446289,1.960245132446289,1.960245132446289,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.9.mlp.down_proj.weight,mlp,2048x5632,11534336,second_moment,col,5632,0.0,-28.774187088012695,-30.763229370117188,-24.860092163085938,-23.175827026367188,-31.61345863342285,-20.7825870513916,10.543764114379883,10.674904823303223,10.689476013183594,3,3,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.9.input_layernorm.weight,norm,2048,2048,second_moment,full,2048,0.0,-26.174583435058594,-27.987062454223633,-23.62405776977539,-22.83974266052246,-28.780961990356445,-21.919612884521484,6.861349105834961,6.861349105834961,6.861349105834961,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.9.post_attention_layernorm.weight,norm,2048,2048,second_moment,full,2048,0.0,-25.403709411621094,-26.708316802978516,-23.2054386138916,-22.513690948486328,-27.191686630249023,-21.592836380004883,5.598850250244141,5.598850250244141,5.598850250244141,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.10.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,row,2048,0.0,-33.92964553833008,-34.74921798706055,-32.59373092651367,-31.69582176208496,-35.207611083984375,-30.845996856689453,4.361614227294922,4.361614227294922,4.361614227294922,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.10.self_attn.q_proj.weight,attn,2048x2048,4194304,second_moment,col,2048,0.0,-34.03891372680664,-34.92366027832031,-32.34588623046875,-31.716520309448242,-35.26986312866211,-30.977678298950195,4.292184829711914,4.292184829711914,4.292184829711914,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.10.self_attn.k_proj.weight,attn,256x2048,524288,second_moment,row,256,0.0,-30.631540298461914,-31.590089797973633,-29.872392654418945,-29.561983108520508,-31.989322662353516,-29.27052879333496,2.7187938690185547,2.7187938690185547,2.7187938690185547,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512,G0_adafactor_hf_x1.0_bs4_seq512,500,model.layers.10.self_attn.k_proj.weight,attn,256x2048,524288,second_moment,col,2048,0.0,-30.82560920715332,-31.641931533813477,-29.529521942138672,-29.040271759033203,-32.05393981933594,-28.342695236206055,3.711244583129883,3.711244583129883,3.711244583129883,1,1,pretrain/TinyLlama-1.1B/wikitext-103-raw-v1/10000steps/G0_adafactor_hf_x1.0_bs4_seq512/step_500.pt
